ID,Year_Birth,Education,Marital_Status,Income,Children,Wines_Products,Fruits_Products,Meat_Products,Fish_Products,Sweet_Products,PurchasesFromCatalog,PurchasesFromStore,PurchasesFromWeb,Deals_Claimed
62,1989,Graduate,Single,81217,0,493,70,324,146,40,7,11,3,1
63,1981,Master,Single,22944,1,19,3,19,4,5,0,3,3,3
64,1961,PhD,Together,63342,1,918,21,118,13,10,3,5,8,3
65,1970,Master,Married,61872,1,330,5,159,36,27,4,9,4,4
66,1968,Graduate,Widow,73455,0,901,61,757,186,163,5,10,6,1
67,1978,Graduate,Together,42554,2,29,1,11,0,0,0,3,2,2
68,1973,Graduate,Married,51148,2,235,6,45,8,9,1,6,5,4
69,1957,Graduate,Married,47743,1,198,2,43,0,12,1,6,4,3
70,1972,PhD,Married,57091,1,462,0,24,6,0,2,5,9,2
71,1970,Graduate,Divorced,72967,1,158,35,179,0,0,2,8,7,2
72,1976,Graduate,Divorced,40780,1,229,27,71,13,3,1,5,7,4
73,1950,Graduate,Together,48070,1,373,14,83,6,9,2,6,8,3
74,1969,Master,Married,43142,2,5,1,7,2,1,0,2,1,1
75,1978,Secondary,Married,36550,1,47,90,94,123,103,1,5,9,5
76,1974,Graduate,Married,40049,1,91,65,52,10,44,2,6,3,3
77,1954,Graduate,Divorced,76773,0,516,56,449,86,33,2,11,2,1
78,1971,Graduate,Married,52531,0,283,112,151,51,72,2,10,7,2
79,1954,Graduate,Divorced,64497,1,1170,48,320,42,32,4,9,11,5
80,1976,Basic,Married,7500,0,6,16,11,11,1,0,3,2,1
81,1964,Graduate,Divorced,41638,1,315,0,31,4,0,5,3,5,4
82,1985,Graduate,Married,55357,2,374,64,116,84,25,2,11,6,3
83,1958,Master,Single,61331,2,534,5,47,0,5,1,6,11,5
84,1976,Master,Divorced,75012,0,294,142,218,164,58,8,11,3,1
85,1978,PhD,Single,54880,1,308,85,137,102,45,2,11,6,2
86,1958,Master,Together,42315,1,67,15,80,17,11,4,4,1,3
87,1989,Graduate,Single,9255,1,9,0,7,2,0,1,2,1,1
88,1956,PhD,Widow,35340,2,27,0,12,0,1,0,3,2,2
89,1980,Graduate,Together,69508,1,824,32,162,42,32,4,11,11,2
90,1946,PhD,Married,51012,0,102,9,63,2,9,1,4,4,1
91,1986,Secondary,Married,7500,1,1,11,5,4,6,0,3,2,2
92,1972,PhD,Married,79930,0,792,86,740,67,51,5,8,3,1
93,1944,Graduate,Married,65275,0,388,14,218,91,14,3,13,4,1
94,1986,Graduate,Married,83512,0,1060,61,835,80,20,7,10,4,1
95,1988,Graduate,Married,84219,0,434,137,400,45,137,4,10,3,1
96,1970,Graduate,Single,30015,1,25,0,22,2,3,0,4,1,2
97,1977,Graduate,Together,96876,0,908,43,735,40,194,7,9,7,1
98,1985,Master,Married,20559,1,13,1,29,3,0,0,3,2,2
99,1974,Graduate,Married,34421,1,3,3,7,6,2,0,2,1,1
100,1985,Graduate,Together,54006,1,174,77,203,6,24,1,7,8,2
101,1989,Graduate,Married,37155,1,23,0,26,7,15,0,4,2,1
102,1966,Basic,Together,22634,0,2,23,11,8,6,1,2,2,1
103,1978,Graduate,Married,65819,0,267,38,701,149,165,4,10,5,1
104,1954,PhD,Divorced,57333,1,941,14,397,76,58,5,9,8,11
105,1987,Graduate,Divorced,81361,0,163,23,424,27,65,10,13,3,1
106,1989,Graduate,Single,46107,1,31,9,27,16,9,1,4,1,1
107,1954,Graduate,Married,62820,0,398,61,265,138,61,4,6,3,1
108,1952,Graduate,Divorced,62335,1,243,131,217,85,6,3,13,3,2
109,1981,PhD,Together,56937,1,746,8,125,11,8,6,9,8,7
110,1991,Graduate,Single,90273,0,704,129,853,120,74,6,7,5,1
111,1964,Graduate,Married,42523,0,14,36,11,3,26,1,4,1,1
112,1976,Secondary,Together,26907,2,9,1,7,0,3,0,3,1,2
113,1970,Master,Divorced,78579,0,816,66,549,216,66,6,4,5,1
114,1957,Graduate,Widow,66033,1,293,35,179,46,59,3,7,8,2
115,1967,Graduate,Single,25930,2,6,1,2,2,0,0,2,1,1
116,1955,Secondary,Divorced,41769,1,302,29,131,32,0,1,7,8,6
117,1953,PhD,Together,53593,2,349,4,78,6,0,2,6,7,8
118,1960,Graduate,Together,30507,0,65,36,74,38,20,1,4,5,1
119,1977,PhD,Married,69389,1,422,7,238,69,46,2,12,7,1
120,1984,Master,Single,18890,0,6,4,1,7,2,1,2,0,1
121,1951,Graduate,Married,32871,2,22,2,12,0,2,0,3,1,1
122,1966,Master,Married,57183,2,464,5,64,7,0,1,7,9,8
123,1951,Graduate,Married,57304,1,356,80,329,138,17,6,10,7,2
124,1967,Graduate,Single,52074,1,59,0,12,0,0,2,2,2,1
125,1980,Basic,Married,16005,1,1,3,2,20,30,1,2,2,3
126,1989,PhD,Single,33996,0,40,2,15,8,0,1,3,1,1
127,1973,Master,Divorced,52034,2,146,0,93,7,13,2,5,4,5
128,1957,PhD,Married,37633,2,13,4,20,0,0,0,3,1,2
129,1954,Graduate,Together,36807,2,4,2,5,0,0,0,2,1,1
130,1969,Graduate,Together,74918,0,972,59,913,25,19,9,6,5,1
131,1971,Graduate,Married,73691,1,707,21,250,85,43,2,8,6,2
132,1975,Secondary,Widow,47682,1,162,61,83,97,57,3,8,4,4
133,1952,Graduate,Divorced,51537,1,787,20,204,0,0,2,11,2,3
134,1977,Master,Married,50353,0,141,15,153,67,31,4,6,4,1
135,1949,PhD,Together,67911,1,529,0,356,63,28,7,11,6,3
136,1983,Graduate,Together,28427,1,18,3,19,3,3,0,3,2,2
137,1949,PhD,Married,80360,0,1493,86,454,112,43,4,5,4,2
138,1981,Secondary,Single,42395,2,48,13,57,24,15,1,4,3,4
139,1981,Graduate,Together,42162,1,46,7,59,2,4,1,3,3,2
140,1975,PhD,Divorced,60554,1,588,7,76,110,15,4,9,8,2
141,1981,Secondary,Together,75774,1,340,21,134,258,14,5,8,7,1
142,1967,Graduate,Together,54178,1,135,9,39,4,0,2,5,2,1
143,1971,Master,Divorced,42835,2,379,4,93,12,9,6,4,6,7
144,1973,Graduate,Married,20895,1,18,3,17,3,0,0,3,2,1
145,1965,Secondary,Divorced,60161,1,584,44,212,46,8,4,8,11,3
146,1987,Graduate,Single,23442,1,2,0,6,8,6,0,3,1,1
147,1960,Graduate,Together,44512,2,23,1,6,0,0,0,3,1,2
148,1968,Graduate,Together,40521,2,12,0,5,0,0,1,2,0,1
149,1969,Master,Together,44602,2,167,2,89,0,0,1,4,6,6
150,1975,Graduate,Married,74190,1,151,81,86,168,91,2,11,4,2
151,1945,Graduate,Widow,63285,0,508,124,249,50,38,5,13,6,1
152,1992,Master,Single,92859,0,962,61,921,52,61,4,12,5,1
153,1987,PhD,Single,74004,0,784,48,560,42,176,6,4,4,1
154,1966,PhD,Together,65814,1,561,14,113,10,14,2,10,8,3
155,1955,Master,Married,38452,2,56,0,14,0,0,0,3,3,3
156,1977,Graduate,Married,54809,2,63,6,57,13,13,1,5,2,4
157,1975,PhD,Married,45503,1,97,4,44,6,1,1,4,3,1
158,1971,Graduate,Married,64722,1,303,0,280,60,147,2,11,8,4
159,1953,Master,Together,56129,1,320,48,133,39,72,2,10,6,4
160,1968,Graduate,Single,70566,1,381,28,215,84,28,5,9,6,2
161,1972,Master,Married,57136,2,306,5,109,21,109,2,10,5,9
162,1966,Graduate,Married,44794,1,54,0,7,0,0,0,3,2,1
163,1949,Master,Married,62845,2,1099,0,45,0,0,4,10,3,11
164,1976,Master,Married,49681,2,411,0,26,0,0,1,7,7,6
165,1951,Master,Together,29298,2,6,0,2,2,0,0,2,1,1
166,1948,PhD,Married,61467,2,410,16,114,0,5,2,10,5,3
167,1986,Graduate,Married,23477,1,38,15,54,3,8,0,4,3,3
168,1980,Graduate,Together,62994,1,224,12,48,4,12,2,4,6,1
169,1986,Graduate,Divorced,21846,1,7,17,18,6,10,0,3,4,4
170,1975,Graduate,Married,46149,1,254,6,71,4,0,1,7,5,5
171,1972,PhD,Single,41644,2,20,3,4,2,0,0,3,1,2
172,1979,Secondary,Married,31086,2,16,2,11,3,0,1,2,1,2
173,1978,PhD,Married,37717,1,9,0,6,4,1,0,2,1,1
174,1981,Graduate,Married,40211,2,51,1,7,2,1,1,2,2,2
175,1987,Graduate,Single,57100,1,158,11,99,15,11,2,7,3,2
176,1982,Graduate,Single,39660,1,139,13,78,20,13,1,3,7,3
177,1962,Graduate,Married,56181,1,121,103,69,8,44,2,7,4,1
178,1965,Graduate,Together,36317,1,87,3,25,3,2,0,4,3,2
179,1958,Secondary,Together,26490,0,45,47,52,21,20,1,5,3,2
180,1971,Graduate,Single,10245,1,4,7,7,6,4,2,2,1,3
181,1960,Basic,Widow,22123,0,3,3,24,34,7,1,3,2,1
182,1962,Master,Together,47175,2,167,2,44,6,2,2,4,4,7
183,1972,Graduate,Married,74716,1,133,27,421,13,195,3,5,7,2
184,1971,Graduate,Divorced,55635,1,235,65,164,50,49,3,7,7,4
185,1966,Graduate,Married,44529,1,538,13,91,17,6,2,11,6,6
186,1976,Graduate,Married,46049,2,342,9,112,19,14,2,9,5,10
187,1968,Master,Divorced,41335,1,112,19,21,16,14,1,4,4,3
188,1956,Graduate,Single,54252,2,178,4,26,8,4,1,5,4,5
189,1957,Graduate,Together,47320,1,200,19,111,50,15,1,8,5,6
190,1975,Graduate,Single,33249,1,6,10,21,19,14,1,3,2,2
191,1984,Graduate,Married,40059,1,110,29,92,28,10,2,3,6,1
192,1965,Graduate,Married,81168,0,410,0,592,147,22,4,7,6,1
193,1991,Graduate,Single,86037,0,490,44,125,29,20,7,11,6,1
194,1961,Master,Together,74881,2,505,72,270,36,27,2,12,9,4
195,1981,PhD,Together,44953,0,728,17,133,11,8,3,13,7,1
196,1977,Graduate,Together,46931,3,41,0,17,3,1,1,3,1,2
197,1952,Graduate,Single,61823,1,523,7,134,37,14,2,10,8,4
198,1959,PhD,Single,34554,1,41,1,6,2,0,0,3,2,2
199,1973,Graduate,Married,79593,0,350,60,568,110,133,6,7,5,1
200,1970,PhD,Together,64413,1,200,5,44,0,10,1,5,5,1
201,1965,PhD,Single,40637,2,22,0,13,0,0,0,3,1,2
202,1989,Secondary,Married,85710,0,600,20,350,29,30,9,10,6,1
203,1973,PhD,Single,48432,1,322,3,50,4,3,1,6,7,5
204,1953,Graduate,Together,58398,0,299,5,201,21,21,4,8,5,3
205,1965,Graduate,Together,52117,1,112,10,107,30,0,2,4,5,2
206,1972,Master,Married,35641,1,63,3,67,8,9,1,4,3,2
207,1952,Graduate,Married,28332,0,14,10,13,4,15,1,4,2,1
208,1969,Graduate,Married,56796,1,656,38,161,62,47,9,7,8,3
209,1976,Master,Married,53204,2,29,0,8,2,0,0,3,1,1
210,1971,PhD,Married,42403,1,22,1,11,0,5,0,3,1,1
211,1963,Graduate,Single,80695,0,557,129,984,193,37,8,5,5,1
212,1976,PhD,Divorced,70179,1,532,88,168,69,44,3,13,7,3
213,1965,PhD,Single,40760,1,70,0,17,0,0,1,3,2,2
214,1974,Graduate,Together,56715,0,258,105,239,237,172,3,4,7,1
215,1971,PhD,Married,71969,1,1000,0,76,0,0,4,9,3,3
216,1957,PhD,Married,75283,3,733,9,180,12,19,3,5,6,11
217,1975,Master,Together,22669,1,16,14,36,37,22,1,2,4,3
218,1980,Graduate,Married,61014,1,269,129,495,182,43,3,4,9,4
219,1960,Master,Together,41275,3,24,4,22,0,2,1,3,3,4
220,1976,Master,Married,81929,1,1486,55,278,49,0,4,10,4,2
221,1982,Master,Together,27590,1,6,0,5,0,0,0,2,1,1
222,1956,Master,Married,50965,1,544,13,85,8,6,4,5,10,3
223,1973,PhD,Married,85844,0,938,19,843,25,95,6,7,6,1
224,1967,PhD,Single,52569,1,85,0,3,0,0,0,4,2,1
225,1964,Graduate,Single,81246,0,398,190,537,61,156,5,7,4,1
226,1984,PhD,Married,73356,0,1050,14,322,0,14,11,5,5,1
227,1953,PhD,Married,55707,1,208,7,82,30,66,2,9,3,2
228,1972,Graduate,Married,22063,1,7,10,13,3,11,0,3,2,2
229,1949,Master,Together,49912,1,520,8,223,32,49,5,7,10,4
230,1966,Graduate,Divorced,48877,1,102,1,15,2,0,0,4,3,1
231,1970,Graduate,Married,13260,2,9,4,17,10,2,0,3,3,4
232,1987,PhD,Single,42000,0,124,83,267,85,59,2,11,5,2
233,1958,PhD,Single,50729,2,239,13,143,45,4,2,7,6,9
234,1978,PhD,Married,72159,0,322,53,899,34,40,6,10,4,1
235,1975,Graduate,Married,27573,1,50,15,110,39,15,1,4,5,4
236,1983,PhD,Married,92491,0,979,44,935,29,25,5,12,7,1
237,1947,Master,Together,77632,0,1200,105,758,0,42,2,6,4,1
238,1983,Master,Married,36262,0,88,39,54,64,28,5,3,3,1
239,1973,Graduate,Married,26228,1,2,6,4,3,1,0,2,1,1
240,1966,Master,Together,49618,2,80,3,26,4,2,1,3,3,4
241,1949,Master,Married,36408,2,9,1,4,3,2,0,2,1,1
242,1968,PhD,Divorced,69674,2,554,41,215,11,0,2,10,10,3
243,1970,PhD,Married,67536,1,1253,0,447,23,71,5,11,11,3
244,1973,Graduate,Married,52845,1,384,25,292,130,41,8,6,8,3
245,1978,Graduate,Together,70440,0,690,117,499,76,102,10,7,5,1
246,1963,Graduate,Married,80124,0,483,84,398,205,84,7,8,3,1
247,1982,PhD,Together,70038,0,587,54,348,71,54,4,8,4,1
248,1984,Secondary,Married,14796,1,13,3,8,7,4,0,3,1,2
249,1966,Graduate,Single,63810,1,977,12,253,16,12,3,12,4,4
250,1976,Graduate,Single,37697,1,34,6,21,11,4,1,3,2,1
251,1965,Master,Single,55250,1,664,58,83,32,0,5,10,7,4
252,1960,Graduate,Together,78468,0,434,22,388,104,22,7,10,10,1
253,1978,PhD,Together,27683,1,152,9,121,12,12,2,4,6,4
254,1978,Graduate,Divorced,41986,1,27,5,8,8,3,0,4,3,3
255,1974,Graduate,Married,26067,1,22,2,18,0,2,0,3,3,3
256,1988,Graduate,Married,38872,1,23,3,21,3,19,0,3,3,2
257,1982,Secondary,Married,57937,1,261,42,144,55,48,4,9,4,3
258,1977,Graduate,Single,35790,1,12,6,20,30,1,0,3,2,2
259,1986,Graduate,Married,92910,0,551,137,792,179,103,7,13,6,1
260,1968,Graduate,Together,58554,2,368,24,68,38,0,2,6,8,6
261,1970,Graduate,Married,50447,2,85,7,24,2,3,1,3,3,1
262,1956,Master,Together,58656,1,962,12,194,16,24,8,13,7,4
263,1970,Graduate,Together,74854,3,856,59,487,58,29,5,5,2,7
264,1974,Master,Married,82584,0,1076,68,103,29,91,4,8,3,1
265,1972,Graduate,Single,31907,0,33,87,64,175,16,1,6,6,1
266,1976,Graduate,Single,79941,0,123,164,266,227,30,4,9,2,1
267,1954,Master,Widow,44551,1,182,4,33,0,0,1,5,4,2
268,1972,Secondary,Together,50334,1,284,16,160,84,16,4,6,7,6
269,1992,Master,Together,42670,0,154,2,46,20,4,2,4,4,1
270,1982,PhD,Single,38513,1,172,3,115,16,0,1,5,6,5
271,1992,Basic,Married,17256,1,6,4,14,8,8,1,2,2,2
272,1967,Graduate,Together,32474,2,10,0,1,0,0,0,2,1,1
273,1958,Graduate,Married,72905,0,407,114,445,181,165,7,9,3,1
274,1954,Master,Married,66991,0,496,36,460,189,60,8,6,4,3
275,1975,Secondary,Together,34984,2,8,4,15,3,5,0,3,1,2
276,1968,Graduate,Together,34916,2,51,23,82,33,0,1,3,5,4
277,1975,Graduate,Single,53201,2,280,7,81,20,0,3,5,6,8
278,1986,Basic,Married,20425,1,4,12,5,3,16,0,3,2,2
279,1951,Graduate,Together,40689,1,270,3,27,39,6,1,5,7,7
280,1952,Graduate,Divorced,82623,0,204,34,204,172,153,9,4,2,1
281,1950,Graduate,Together,34026,2,18,6,15,12,8,1,3,2,3
282,1978,Secondary,Together,52513,0,367,17,241,104,188,5,9,9,2
283,1956,Master,Single,86424,0,387,68,569,89,45,9,12,6,1
284,1963,Master,Married,33562,3,21,12,12,0,3,0,4,2,3
285,1943,PhD,Widow,57513,0,735,40,183,52,20,3,13,9,2
286,1979,Graduate,Single,60474,1,265,199,303,234,9,2,12,10,7
287,1982,Master,Married,21059,1,8,3,19,3,3,0,3,3,3
288,1966,PhD,Married,69063,1,666,35,124,69,8,3,5,5,1
289,1965,PhD,Divorced,36921,2,17,1,12,3,1,0,3,2,2
290,1958,Graduate,Single,45160,2,8,2,5,3,0,0,2,1,1
291,1960,Secondary,Single,47823,1,53,1,5,2,1,0,3,2,2
292,1962,Graduate,Married,55759,1,675,0,85,10,7,3,8,10,5
293,1965,Secondary,Together,71488,0,162,33,124,40,28,4,7,3,2
294,1952,Graduate,Single,47958,1,268,11,88,15,3,3,5,6,2
295,1975,Graduate,Single,42160,2,48,9,45,3,15,1,4,2,4
296,1958,PhD,Together,84460,0,152,27,103,106,54,9,4,9,0
297,1979,Secondary,Together,60839,2,600,21,128,223,150,2,12,2,13
298,1975,Master,Together,34176,1,11,2,7,4,2,0,3,1,1
299,1969,Graduate,Single,30822,1,3,9,13,2,12,0,3,1,1
300,1965,Master,Married,62694,2,379,6,157,25,91,3,7,9,5
301,1972,PhD,Single,38578,2,38,4,22,3,3,0,3,3,3
302,1973,Graduate,Married,59041,2,69,2,15,2,2,0,4,2,2
303,1983,Secondary,Single,81698,0,709,45,115,30,160,2,5,8,1
304,1975,Graduate,Single,56243,3,347,0,35,4,3,2,8,4,6
305,1967,Master,Divorced,81380,0,741,68,689,224,68,2,10,4,1
306,1986,Graduate,Married,38508,1,120,19,206,25,19,2,5,7,6
307,1946,Graduate,Together,82657,0,966,168,672,246,105,5,10,7,1
308,1951,PhD,Together,69702,1,664,9,240,50,19,7,10,7,2
309,1946,Graduate,Married,78569,0,558,79,622,207,175,6,4,4,1
310,1980,Graduate,Married,37406,1,2,0,8,2,2,0,2,1,1
311,1977,Graduate,Married,41443,1,171,7,171,25,19,1,5,8,6
312,1970,Graduate,Married,90765,0,547,99,812,151,82,6,5,4,0
313,1965,Master,Married,56962,3,292,3,77,10,3,3,5,6,7
314,1960,Master,Married,47353,1,184,2,19,8,8,2,6,2,3
315,1971,Graduate,Together,38590,1,3,1,8,4,3,0,2,1,1
316,1965,Graduate,Together,56046,0,577,0,64,0,0,1,8,10,2
317,1956,Graduate,Married,90369,0,292,51,981,224,23,6,6,4,1
318,1973,PhD,Divorced,35860,2,15,0,8,4,2,1,2,1,2
319,1957,Secondary,Divorced,77297,0,408,61,109,48,122,7,9,5,1
320,1971,Graduate,Together,71796,0,354,21,311,167,75,3,4,9,1
321,1979,Graduate,Single,61825,1,162,50,100,55,30,2,8,4,1
322,1965,PhD,Together,65220,0,890,63,292,0,25,4,7,8,4
323,1954,Graduate,Divorced,64587,2,66,0,16,0,6,1,4,1,2
324,1972,Basic,Married,25224,1,4,9,12,11,2,1,3,1,2
325,1960,Master,Married,81843,0,779,86,537,34,69,9,12,5,1
326,1979,Graduate,Together,34350,1,16,3,15,2,1,0,3,1,1
327,1978,PhD,Together,34043,1,20,2,14,3,0,0,2,2,1
328,1964,PhD,Divorced,64140,2,1459,0,61,0,15,5,6,2,5
329,1974,PhD,Together,65640,1,204,7,149,20,15,1,8,5,1
330,1975,Graduate,Married,43057,1,213,2,44,0,2,2,5,4,4
331,1967,PhD,Together,62981,0,796,14,590,38,44,5,13,4,1
332,1978,Graduate,Single,30168,1,154,20,66,0,12,1,4,6,7
333,1978,Graduate,Together,25851,1,9,4,18,7,5,0,3,2,2
334,1988,Graduate,Single,39747,1,80,15,93,20,13,1,4,5,3
335,1970,Graduate,Single,22585,0,3,9,15,13,2,1,2,1,1
336,1961,PhD,Together,66426,1,1043,24,97,32,24,5,10,3,2
337,1968,PhD,Together,40706,3,59,0,11,4,2,0,4,3,4
338,1944,Graduate,Married,55956,0,760,38,104,50,9,3,4,7,2
339,1974,Graduate,Single,69719,0,273,86,208,177,14,3,5,2,1
340,1965,Basic,Single,23529,1,9,7,13,3,2,1,2,1,1
341,1962,PhD,Divorced,85696,0,714,76,395,116,0,6,9,4,1
342,1988,Secondary,Together,45204,1,30,11,25,29,1,1,4,1,1
343,1988,Graduate,Together,87679,0,1259,172,815,97,148,11,10,7,1
344,1975,Graduate,Single,33955,1,100,2,128,23,7,1,5,5,4
345,1975,PhD,Married,79174,0,1074,37,518,193,92,6,7,5,1
346,1978,Secondary,Married,12393,0,5,6,15,11,7,0,3,2,1
347,1980,Basic,Married,25965,0,2,2,11,41,7,0,3,2,1
348,1971,Graduate,Married,64795,1,412,5,119,38,29,3,12,3,3
349,1971,PhD,Together,29732,1,25,0,8,0,1,0,2,2,1
350,1970,Graduate,Divorced,84835,0,189,104,379,111,189,4,6,4,1
351,1961,PhD,Divorced,54959,1,1148,0,60,0,0,5,4,9,3
352,1974,PhD,Single,39190,1,68,8,18,19,8,1,4,2,2
353,1978,Master,Single,35544,1,30,5,23,4,1,0,3,2,1
354,1974,Graduate,Single,43322,0,56,7,48,10,2,0,4,3,1
355,1952,Graduate,Single,47139,2,46,0,12,0,2,1,2,2,2
356,1972,Master,Married,75251,0,721,111,925,97,18,6,5,7,1
357,1957,Graduate,Single,64849,0,652,48,350,94,84,3,6,9,1
358,1990,Graduate,Married,18929,0,32,0,8,23,4,0,4,1,1
359,1985,Secondary,Married,23148,0,4,6,8,6,3,0,3,2,1
360,1959,PhD,Together,53537,2,81,0,6,0,0,1,3,2,2
361,1971,Secondary,Together,42033,2,11,1,4,2,0,0,2,1,1
362,1980,Master,Divorced,78789,0,667,50,850,21,83,6,5,4,1
363,1950,Master,Divorced,63120,1,965,69,279,54,41,4,9,8,5
364,1987,Graduate,Together,67430,0,595,97,291,127,133,5,12,11,1
365,1951,PhD,Married,78939,0,794,115,243,150,0,5,6,8,1
366,1954,Master,Married,45736,1,188,3,180,20,3,1,6,7,5
367,1972,Graduate,Married,40321,2,44,4,21,6,0,0,3,3,2
368,1967,PhD,Married,59062,3,46,1,12,3,0,0,3,2,2
369,1973,Secondary,Together,69401,1,399,27,159,58,8,4,5,4,4
370,1973,Graduate,Married,31814,1,35,3,20,4,1,0,3,2,2
371,1986,Graduate,Married,25252,1,1,3,4,2,2,0,2,1,1
372,1962,Graduate,Married,71434,1,711,36,217,172,96,4,7,7,3
373,1981,Basic,Married,34445,0,228,122,122,208,129,2,8,11,6
374,1973,PhD,Together,55012,1,582,0,65,0,0,2,9,8,6
375,1951,Graduate,Together,86610,0,446,107,768,33,196,6,6,5,1
376,1965,PhD,Married,84618,0,684,100,801,21,66,9,10,6,1
377,1971,Graduate,Widow,45684,1,5,1,5,10,0,0,2,1,1
378,1968,Master,Together,34053,1,63,0,21,7,0,0,3,3,1
379,1987,Basic,Single,21063,1,1,10,11,19,3,0,3,2,2
380,1974,PhD,Single,63159,0,965,34,586,89,86,5,8,3,1
381,1967,Graduate,Together,44931,1,78,0,11,0,0,1,3,2,1
382,1964,Graduate,Married,60597,1,522,0,257,32,16,2,8,2,4
383,1949,PhD,Married,58607,1,867,0,86,0,0,3,9,2,3
384,1958,Graduate,Divorced,71964,0,587,51,932,180,34,6,5,5,1
385,1969,Graduate,Single,72679,1,619,54,260,127,54,7,5,4,1
386,1990,Graduate,Married,35765,1,22,3,30,0,5,0,4,2,2
